feature,index
t-begin,1909
the-mystery,14406
pay-higher,475
---george,4291
the-nerd,24481
PN=make,18184
",-working",8623
put-distance,2924
PV=step,8316
hillary-put,22901
the-mpg,18689
chance-today,5572
community-.,2293
supporting-wall,16930
to-guns,27794
really-appreciate,7407
friday-attacks,15848
police-dogs,4122
nasa-continues,17951
--law,5920
):-working,12920
sugar-?,15178
consist-of,7498
PN=slip,10345
filament-aloft,18334
PN=tuesday,15631
PN=doubtless,456
of-california,18535
the-level,21611
PV=belong,4894
providing-your,22227
and-nights,10061
the-official,27705
accept-it,10065
PN=asterisks,13137
the-history,3888
hear-more,9678
hubble-images,18351
had-consistently,26595
the-michelangelo,10596
door-in,3985
(-inaudible,5601
PN=artifacts,2463
FN=weeks,4455
a-pine,23929
study-done,15545
PN=practice,810
sunni-areas,24653
PN=maine,1688
make-somebody,10629
the-minute,23231
those-now,21655
FN=border,11353
the-issues,8956
FN=catholics,13232
dna-matches,16182
security-presence,27590
is-reportedly,13856
effects-all,11988
FN=denial,20711
"poverty-,",10540
you-mean,19973
who-travel,1623
constantly-assess,1922
?-what,23113
campaign-events,8013
our-security,16832
twins-the,5773
shared-those,23540
FN=version,20127
oct-.,6414
gonna-get,24966
about-psychiatry,24394
caregiving-as,13150
either-house,12228
PN=struggle,8919
that-sprang,16093
a-reset,12704
its-mobile,17750
PN=trial,1041
the-cosmic,18798
it-goes,9263
a-more,17308
PV=threatened,1061
true-than,26948
two-characters,15110
their-daughter,21783
brands-get,23547
battling-isis,20774
the-solidarity,26351
convince-people,25269
low-rates,7481
PN=donor,26712
immigration-policy,9564
ll-see,8894
in-order,1715
pretty-crushed,20813
PN=levels,22066
PV=talks,10537
their-friday,16939
FN=kayaks,15565
than-games,24557
FN=oversight,11947
PV=face,17715
further-away,21348
FN=hunger,20962
approximately-15,12371
PN=almohammad,6376
crowd-there,12827
which-the,26537
PV=favor,3573
of-discrimination,23990
its-game,12342
big-question,19833
PN=gestures,27645
cost-comparisons,7434
PN=prices,14268
FN=poverty,10539
FN=parisians,20484
):-when,16937
joining-us,1893
the-chance,4589
NNP-.,166
"NNP-,",458
NNP-(,5193
NNP-),361
PN=advertising,21316
PV=owe,12645
FN=final,18740
NNP-:,2743
",-looks",13358
PV=transit,13410
PN=stains,20305
NNPS-IN,3039
fairness-in,12993
my-payback,27414
contacted-dhs,961
the-south,5039
"view-,",13136
her-vision,13044
s-there,19389
PN=approval,17252
forced-back,8449
5-percent,13063
me-think,13123
everyone-has,6470
it-on,11675
was-cleared,4124
FN=film,8361
session-in,19895
be-moral,3719
[-manager,21523
watching-you,17322
do-is,2521
it-or,18098
do-it,2852
ruled-out,18843
FN=wow,20087
label-guinness,21142
PN=alerts,14945
FN=mcconnell,21932
thomas-found,8693
any-increase,5677
ceos-gathered,6927
he-criticized,24479
robin-roberts,676
grossed-me,19778
installing-tablets,21258
"peapod-,",21000
a-trap,16080
poachers-in,17634
PN=sermon,12965
PV=gathered,6926
"atms-,",11985
the-photo,5917
PN=copies,9260
",-searches",13902
was-infected,22126
FN=form,16014
they-attack,27536
FN=ford,14655
been-raining,21521
me-currently,19218
FN=fort,21826
a-shift,6992
other-mass,20016
pointed-that,25668
the-objects,25989
PN=tomorrow,9139
VBG-IN,1149
held-it,16584
PN=adoption,802
the-bush,11325
protect-the,2902
paris-clearly,15384
FN=lfl,13903
given-promise,26920
to-pivot,25191
defeating-cotto,23656
haiti-to,1564
FN=christians,239
cotto-is,23698
PN=pay,7468
PN=pat,22853
basically-not,13277
PN=par,14017
bring-this,25474
west-center,15733
the-evening,24419
usually-formed,24840
some-are,25301
FN=reports,15679
has-laid,12263
the-edge,7630
they-can,15903
an-angle,27605
his-cousin,19287
lecture-me,22513
an-anchor,1668
could-get,5812
they-continue,4954
america-started,11127
is---,12005
people-from,11563
deciding-on,23648
PN=nights,10060
",-fight",4762
PN=san,11316
they-presented,25975
one-count,20020
45-passes,7210
governor-bush,9093
standing-by,21385
military-helicopters,5752
he-reached,23890
FN=men,13815
FN=democrats,7743
john-boehner,20343
crowd-turning,11199
i-understand,3130
PN=adventures,11089
PN=gunfire,17857
"solid-,",4419
priest-back,1463
you-act,3388
that-exchange,12601
effectively-as,17701
PN=asylum,27601
IN-VB,3408
PV=think,1969
also-run,13598
RB-CD,1096
one-family,18981
FN=palin,23769
RB-CC,3505
their-lincoln,10550
these-fires,18172
reporters-on,21506
it-prowls,20371
"midnight-,",23486
midnight-.,2672
PV=rush,27193
FN=parenthood,13094
father-was,19324
to-hash,6940
FN=virginia,17053
FN=anaheim,8324
PV=battling,8818
and-jumped,27324
the-reaction,1938
to-consist,7500
human-lives,22705
VBP-RP,2540
own-take,17456
"stronger-,",436
the-microscope,26268
were-performing,17320
PN=roberts,675
his-teachers,23192
heightened-concern,16089
FN=affairs,3221
FN=long,19001
the-good,19787
FN=lone,11230
least-two,16219
an-odyssey,15942
about-troops,16889
from-around,8606
FN=hewlett,12574
include-those,566
FN=forfeiture,3328
PV=fills,25173
display-disturbing,1053
could-happen,2034
operations-soldiers,4864
PV=endangered,1626
:-synthetic,17484
an-announcement,12273
an-asterisks,13138
FN=trading,7534
were-nominated,6182
his-faith,4344
PV=approved,3019
cleveland-should,2350
PN=guard,16362
acquire-equity,7542
a-reorganization,23902
FN=million,18151
VB-RBR,9679
a-candle,26745
their-own,1012
very-quickly,16670
economic-reports,15680
the-strong,14150
FN=britain,27728
PN=chuck,21485
):-up,22626
"me-.""",6216
me-.',5978
before-that,23709
the-freeway,8508
administration-points,11342
were-tasked,18113
you-see,20264
of-going,3989
your-tech,17808
",-author",5013
turned-out,4319
PV=scammed,16371
matter-to,11502
RBR-RB,16753
PV=smooth,25613
the-spot,26736
an-incident,21421
PN=swipe,10358
nothing-quite,23432
falling-the,15683
PV=bounce,24431
FN=ravens,21999
in-one,5218
i-move,25416
a-40,21267
"FN=.""",5435
"brussels-,",12341
conditions-and,25362
not-be,18047
last-strike,9362
up-rents,7442
seen-anything,16493
turkey-jumping,24225
a-fantasy,10908
and-coming,13115
TO-WP,16814
this-goes,12134
the-menu,14271
"die-,",19814
a-donor,26713
the-reunion,6029
jargon-easier,14782
those-gym,20470
had-force,2610
the-same,2272
space_station-make,18185
a-drawer,10193
signs-like,8486
PN=diseases,25028
JJS-NNPS,22377
FN=party,5276
FN=parts,4390
",-another",21550
WRB-WRB,25189
FN=houston,16188
happening-now,3906
is-turning,4459
top-nationwide,4303
and-hand,27048
investigative-genealogist,8614
FN=stride,11779
some-sort,3006
FN=permission,6635
several-taken,18486
i-shoot,26297
return-to,5798
about-one,9708
these-comments,19235
good-.,14928
by-generations,6693
PN=charlotte,20219
FN=console,17476
t-feel,20973
PN=temperature,26851
hannover-was,12332
the-route,6342
here-prepare,12821
attack-was,16050
PV=presided,23187
three-tins,27630
PN=match,12324
16-seconds,26252
their-live,7719
FN=point,1528
and-said,16911
reading-about,11170
FN=warren,13533
is-fine,9558
"account-,",19999
FN=manchester,20633
civil-liberties,3303
a-coming,6450
PN=just,10664
PN=exchanges,12570
"chicago-,",1465
now-.,10227
"now-,",1453
fostered-children,20211
now-?,25034
the-young,9967
PN=focus,233
be-completed,6880
FN=display,4013
is-slated,7058
she-fills,25174
is-complying,11920
low-and,592
held-town,10565
",""-officials",21137
to-refinance,5697
particular-.,10942
pictures-of,18923
FN=hotel,20532
voters-who,24176
PN=ceo,9005
FN=radio,13384
what-do,19402
PN=golden,22990
march-2011,887
muir-reported,16970
being-evaluated,15450
FN=november,11852
FN=lakers,22192
that-provides,20210
my-experiences,17995
infrared-data,18342
FN=tears,9771
interesting-nickname,24716
PN=letter,3930
when-president,5175
FN=copies,25945
FN=outer,23060
PN=big,10274
PV=came,212
FN=freddie,19968
PN=bit,3848
very-happy,5480
FN=book,4591
PN=places,5000
a-mechanic,16366
adopted-both,5824
PN=pregnancy,23099
PV=made,3837
tuesday-.,15700
FN=boot,7476
"tuesday-,",14710
similarly-somber,13559
be-placed,1002
pass-it,7567
"""-shift",15175
a-general,27167
FN=earth,359
haggling-here,22870
the-victorian,11014
PN=stream,396
PV=glued,1340
you-think,9090
me-up,22721
for-online,20610
its-investigation,25776
a-limit,11708
isis-cannot,26114
the-season,17997
door-briefing,23223
family-is,9761
biden-looks,25866
being-able,8942
"stage-,",7911
PN=paragraph,25571
",-beginning",640
script-with,11097
those-statements,24035
confidence-about,19441
FN=facts,12979
FN=monoceros,18728
cancer-seems,23457
party-would,25204
cognitive-dissonance,25339
travel-north,13415
FN=items,7982
who-has,8912
years-combined,22280
their-church,19845
PN=nativity,24000
contrast-.,5258
PN=kirk,18852
"girlfriends-...""",10585
these-photos,4946
these-themes,10124
PV=pop,24816
and-swap,22031
NN-JJS,8771
FN=filmmaker,8084
",-welcome",4627
always-run,24607
the-wake,119
thousands-left,25422
PN=court,1251
russia-.,17197
russia-(,25610
"gaza-,",21807
PN=colby,1738
FN=oboe,20901
"transparency-,""",26165
univision-and,11384
PN=wolf,3068
horrific-case,11264
PV=assess,1923
the-mall,17705
his-work,9860
FN=absentia,8669
political-environment,13271
PN=volunteers,7942
may-come,17435
"doubt-,",26596
problem-throwing,14172
my-interview,13743
PV=ascended,14028
",-walks",25648
PN=details,12270
PN=assault,1764
police-officials,16206
has-done,25348
PV=gain,3425
FN=variety,2528
PN=illinois,6574
CC-VB,1384
candidate-and,6515
PV=sold,20393
about-out,5224
robert-kardashian,18919
other-leaders,6918
"release-,",4816
FN=boston,757
the-challenge,10587
",-crawling",17661
",-operating",8152
FN=headache,24819
but-what,3430
just-to,26434
also-had,6270
PV=generated,18190
fighting-back,21605
her-senior,26649
two-candidates,4385
PV=anxiety,705
three-things,22591
threat-coming,16819
"portraits-,",10605
which-translates,24747
sweden-going,12494
star-known,18711
or-talking,9920
could-succeed,11891
parents-.,13318
PN=knowledge,3219
the-wide,18776
the-rally,25818
FN=marvel,15010
an-all,22217
PN=audit,16322
gotten-rid,3623
FN=matt,13076
time-and,1131
PV=fed,20389
his-surgery,27230
PN=nations,26138
detroit-and,11534
not-want,2020
their-past,7079
PV=find,1428
he-gunned,26531
FN=couch,21911
FN=belongings,2153
FN=testimony,5367
that-stage,15781
PV=raining,21520
campaign-operatives,7773
PN=nixon,10375
of-those,10319
the-state,2288
FN=bloody,18930
admitting-any,25910
will-live,4063
a-bathtub,24721
hillary-running,13160
a-bold,22902
",-more",16614
bannerman-',15562
FN=debates,3481
the-betting,5521
VB-CC,2269
FN=relations,9738
VB-CD,195
PN=nissan,26807
the-could,20246
the-hardliners,8823
the-duration,8570
one-died,23129
important-position,13299
a-therapeutic,920
FN=development,26429
viafore-',15555
"viafore-,",15547
viafore-.,15602
PV=gaming,22474
PN=cloud,23964
this-program,3049
"hate-,",19854
air-measured,18379
FN=son,8629
can-talk,17432
PN=plunge,15425
one-calendar,17970
to-meet,7060
social-issues,12964
PN=convictions,23605
just-months,27100
control-so,25424
recently-reported,19261
ship-them,17780
and-california,18168
custody-at,26023
FN=divorce,22127
the-problem,12229
humble-beginnings,10087
PV=want,229
WP-VBD,762
use-diplomacy,25441
",-could",20137
WP-VBP,684
the-delivery,23926
PN=nod,10615
WP-VBZ,2524
the-analysis,16828
came-forward,27352
FN=man,4334
block-executive,7042
must-continue,7340
to-who,16813
FN=may,15557
a-lower,4562
FN=henry,9982
):-fatherhood,20158
a-member,4110
VBN-NNS,4
FN=rates,413
girls-building,16158
one-day,937
ll-need,7524
drown-out,10042
have-censors,9416
FN=fireworks,1939
PN=truck,20379
now-rolling,25513
FN=cash,8230
"wisconsin-,",11419
FN=allies,10848
PN=russians,14680
it-looked,21150
t-strong,13169
CD-PRP$,9715
the-lunatic,21540
PV=escalated,24364
on-nothing,24570
the-first,368
FN=date,6756
include-a,6889
a-screenplay,21211
PV=touted,26456
FN=data,15192
FN=midst,13268
FN=dr,1903
times-matches,16242
PV=portrayed,8359
PN=committee,3180
have-slipped,23150
FN=dc,261
PV=endorsing,13287
a-couple,378
"far-,",16612
far-.,19146
"think-,",13068
buchenwald-.,3961
",-many",1947
their-divorce,22128
jessica-aguilar,24437
are-known,12361
the-sermon,12966
PV=estimates,26185
paying-attention,11244
PV=blurred,18827
FN=espn,6526
PV=estimated,2426
other-countries,19268
the-sept,23370
PV=voting,11124
extending-outwards,18242
PV=shattered,20480
you-both,16653
me-begin,5250
EX-PRP,6416
came-together,23253
FN=chemotherapy,6550
FN=mcrefugees,2118
finest-director,6175
has-said,12720
much-calm,21372
was-welcomed,10013
he-emerged,18086
the-weather,15617
get-there,26460
PV=joked,19849
",-secretary",8781
PN=lanka,17822
PN=senators,12734
the-dignity,19247
ryan-lizza,22878
PV=insisted,11859
PN=upside,7379
me-say,11295
them-we,2315
PV=paid,12740
PN=hockey,27631
the-overall,22605
PN=mario,12139
fisher-price,23738
FN=feminist,14132
is-better,17379
regulators-and,17255
university-of,18105
firm-run,22426
FN=summits,7028
a-meal,14156
shows-gas,18463
relay-leg,27746
have-more,12405
all-imperiled,22756
homeland-security,9404
this-hi,15067
this-he,20586
thrift-stores,20856
secretary-put,24033
",-run",4534
malley-staying,5342
---talked,3489
personal-experience,13038
cashing-in,7539
FN=vatican,21834
be-done,9458
least-made,2643
of-product,5086
FN=santa,14262
re-excited,23016
FN=nfl,17968
and-carrying,25259
PV=serves,16878
PN=tasks,18135
conservative-spectrum,7768
FN=nfc,21498
opening-a,16698
PV=served,27
PV=descend,26019
less-scrutiny,24367
now-governor,3254
family-research,21758
no-excuse,19244
FN=proposal,11878
combat-aircraft,12723
FN=transparency,26164
it-crosses,18159
kristen-soltis,24163
it-crossed,18589
your-take,23544
address-issues,22863
you-have,2050
"seasons-,",23531
illinois-as,6573
these-things,25365
over-the,16906
outermost-ring,18327
FN=plaza,16443
represent-the,3215
jinping-issued,6979
crowds-coming,24045
the-morning,13677
candidates-bend,7946
he-can,16424
the-irs,21909
in-second,19646
sanders-seemed,4706
people-coming,16802
you-look,2049
trademore-(,9013
air-someone,21434
clear-reference,8923
those-veterans,19220
PN=nra,24048
come-back,7420
and-after,18875
photo-posted,23728
PN=neighbor,8180
gotten-again,4130
what-happened,8691
get-you,3825
PV=winning,9639
"90-,",9831
and-places,26407
that-playing,19484
PV=shift,4450
their-personal,14311
will-evolve,26834
FN=speech,5298
inc-.,22429
PN=lifetime,21111
hottest-bands,26482
beautiful-body,6686
PV=take,223
"wash-.,",21886
told-voters,2717
kicking-the,14588
it---,25782
one-season,24386
into-russians,14681
center-at,23357
just-wander,21162
the-dna,16284
PV=knew,8209
missiles-flying,25546
PV=checking,13319
as-required,20449
t-eat,20853
fuse-a,13919
the-interviews,9609
FN=seattle,22656
clinton-drama,25207
my-entire,23090
my-view,4750
FN=pryor,14400
re-back,19499
FN=reign,6050
PN=gotten,4129
for-vox,11121
training-centers,21607
",""-according",16256
and-thought,19939
be-open,4065
PV=thanked,7657
PV=inspire,8086
showed-photos,17644
and-hope,19405
may-seem,11062
on-wednesday,6900
be-gone,27349
trouble-.,26374
has-problems,15043
who-spoke,13862
dust-and,18452
age-how,1990
we-go,9730
on---,9417
1971-.,5800
"1971-,",5779
PN=netherlands,21613
summer-2012,1038
an-assurance,19948
they-',13920
solar-eclipse,18411
PN=corner,3865
they-.,25106
PN=quilts,20217
officers-came,19584
a-packed,6359
"raptor-""",10622
talk-publicly,20676
"murder-,”",14098
manny-it,17400
the-faa,20554
one-time,19321
other-side,14951
his-smug,11837
FN=idea,3136
a-flight,740
t-matter,25223
has-come,25774
goes-directly,21653
PN=powder,12055
up-next,11660
couple-that,11570
the-order,5943
FN=actor,8363
a-second,2969
FN=park,12914
duke-it,24537
PV=hooted,19550
PN=get,12237
PN=herbalife,14327
a-month,901
bumper-sticker,2881
PV=tour,27709
upper-east,13357
six-hours,20689
PN=wembley,23295
PV=distract,16803
PN=thanksgiving,14542
thanked-everyone,7658
thing-that,27554
contracts-spelling,21327
counting-up,15242
three-points,22894
what-i,3144
what-a,12997
FN=consideratin,24937
a-reception,27758
PV=ripped,4499
we-reached,17556
hidden-camera,17509
PN=faa,20555
the-products,14314
just-sent,26209
PN=rating,22005
PN=hospital,8633
FN=remini,24412
WDT-DT,26538
showing-the,22265
general-for,5716
"what-,",6726
is-about,10406
PN=rentals,7447
a-service,27617
PN=broadcasts,17001
PV=discusses,6944
the-tech,24873
141-photos,18320
atlanta-bureaus,24566
PV=give,5923
PV=discussed,19474
every-aspect,6148
PN=purpose,342
here-than,24958
actually-happening,5229
is-coordinating,280
commit-to,24993
were-combined,18358
dinner-.,1283
here-that,20253
a-voting,24193
this-state,5419
out-that,3114
be-scared,10762
FN=analysis,16827
s-go,27145
PN=raddatz,3923
mandatory-minimum,3336
PN=vests,14992
PN=commander,188
FN=tom,4312
charge-them,1288
5000-people,20581
PN=wage,25454
been-proud,3338
PN=government,5547
whether-this,1661
--scheduled,25052
PN=guide,7573
two-unsuccessful,5931
PV=performs,15475
FN=paycheck,22514
PN=soap,15078
",-IN",991
FN=humanity,19072
PV=upset,17123
FN=temperatures,10557
PN=run,4718
the-runway,22784
PN=atlanta,23017
FN=york,6019
needs-daughter,19009
earth-is,18373
PN=haiti,1369
FN=glass,8997
by-facebook,15757
no-room,19853
rome-on,1508
FN=means,3417
the-swell,13449
menendez-pointed,9040
my-vote,27124
PN=chatman,4069
his-senior,6111
VBP-RBR,13927
VBP-RBS,27056
put-isis,24235
PN=level,11763
the-west,4020
PN=lake,24903
seeing-abc,16224
FN=child,1612
strategic-communications,10812
you-’,22586
PN=value,7385
a-bachelor,69
PN=slam,23130
PV=prepping,7821
give-permission,5925
peered-to,20545
what-terrorists,2523
"means-,",22701
this-example,10698
personal-experiences,14313
000-troops,5045
video-service,14063
PV=double,16747
find-out,9470
",-posted",11835
geographic-expansion,10912
forcing-him,6141
the-words,8117
PV=shoot,17597
within-hours,9468
FN=energy,24756
important-tool,2986
PN=information,2744
PN=contacts,19271
PV=proposed,11861
locations-that,16679
health-care,4445
PV=restraining,20453
this-for,4792
his-appreciation,15831
as-if,22612
FN=oklahoma,2451
"jockeying-,",8764
FN=streaks,18244
building-created,24206
yu-darvish,19631
withdrawing-all,22943
a-felony,25961
s-room,14450
a-separate,5999
PN=won,3248
PN=matthew,8269
opt--,23393
strong-influence,14043
presidential-library,8001
powerful-voice,8857
FN=rents,2101
PN=turnovers,14235
that-closely,19386
reportedly-crossed,26108
his-term,6956
lawless-slums,1591
and-look,21045
does-violence,5068
PV=graduated,21356
like-panel,17831
scene-out,24003
rate-hikes,5690
been-tried,13742
say-?,4370
FN=eyewear,15304
work-because,12739
the-cure,9669
the-plug,25691
FN=outsider,13110
say-.,10391
"say-,",4059
PN=users,24538
PN=spring,1110
FN=kstp,8443
their-systems,24541
leave-children,13348
PV=canine,17676
still-stuck,5345
super-bowl,19757
heated-rhetoric,179
your-fine,3818
staying-power,9524
PN=back,8068
the-ages,20196
say-i,5430
goes-south,14784
VBD-PRP$,21583
sacrificing-any,15307
PV=ducking,25496
VBG-WRB,9136
all-worried,11898
the-election,10371
PN=tore,18708
to-send,17220
of-all,21971
we-were,1036
country-is,4564
she-did,5359
FN=scratch,8156
to-call,22716
of-also,26208
she-came,23001
with-sawyer,17019
tell-this,10583
they-have,12087
22-percent,13199
PN=stargazers,25366
"counter-,",21248
counter--,7494
PV=treated,8279
her-love,21209
live-coverage,7720
PN=reason,1375
"anderson-,",6494
religious-freedom,25654
there-waiting,13212
she-made,9165
will-jeb,22903
PN=correlation,24973
cannot-pass,18274
PV=heads,25524
stunning-defeat,24587
FN=christie,2893
up-security,19354
great-credentials,3270
petrocelli-agrees,27477
PN=chicago,5736
the-threatening,14569
PN=captain,20560
focus-group,4532
PN=future,8902
sending-police,23043
PV=stopping,15924
the-conservative,7766
PN=times,1700
years-asking,5818
hours-all,27461
FN=chicago,1464
barrymore-said,10577
thousands-turned,12872
look-at,3332
last-couple,4454
FN=yours,17877
FN=knee,25746
administrative-work,22957
PRP-VBZ,137
FN=kristen,24161
pilot-talk,5119
PRP-VBP,1856
PRP-VBN,10292
brown-v,9291
PRP-VBG,2357
PRP-VBD,29
FN=exit,14388
nuclear-talks,11661
kits-placed,16191
000-titles,24884
PN=shelf,16262
"surveillance-,",3018
PV=strained,6240
been-associated,20038
murder-charges,8219
lyrics-to,25718
taking-meds,22058
have-talked,6507
the-water,26091
FN=www,22295
PV=flying,14930
finland-?,23445
think-of,20903
and-debris,18417
folks-just,24056
founding-principal,628
re-digging,27065
PV=agreed,3447
FN=print,8027
tom-llamas,4314
3-.,5672
3--,14204
conquering-heroes,10011
deeply-divided,10169
FN=stands,13213
him-but,13074
though-taking,14889
PN=christie,22830
FN=sake,12060
well-at,9203
well-as,8522
real-sentiments,11713
longer-admitted,24374
fumbling-on,7203
use-them,11073
of-respect,856
FN=standing,26987
PN=gonzalez,13382
PN=dollars,24383
the-gate,722
were-going,13075
a-network,26384
president-?,12506
her-belt,17132
commander--,16856
a-flare,18271
the-fireworks,1940
police-say,20720
PN=congress,3030
killed-emwazi,13749
the-evangelical,1642
FN=devout,948
PV=transformed,8326
same--,5545
22432-printed,21590
shown-beheaded,13557
the-reality,1983
hard-part,15028
and-whether,4772
key-aspect,2544
on-some,5236
a-getaway,25049
make-more,9965
this-spirit,717
"galveston-,",8055
PV=peak,17727
FN=increase,5676
mass-shootings,1559
PV=replaced,14848
PV=appealed,123
FN=minutes,12166
medical-center,6482
the-meetings,26449
rushing-to,26933
FN=computers,11083
way-at,26421
the-backlash,27266
FN=anchor,7899
FN=corsets,11023
military-service,19238
FN=patrols,17606
these-sanctions,11612
sale-:,7985
information-recovery,17736
",-talking",1973
PV=walking,8663
rejection-.,27222
we-talked,4968
to-put,3737
playing-golf,12753
criminal-murder,6250
love-on,6088
with-thousands,10835
her-neck,27689
about-fairness,12995
for-thomas,5985
birth-mother,8589
their-kitchen,19589
ninety-minutes,15039
80-countries,9901
this-cnn,12569
terrorism-investigations,19278
within-seconds,26687
is-unveiled,26805
someone-like,20067
heavy-rain,20524
she-inserts,14149
an-out,4142
PN=layers,13892
VBN-PRP,1420
FN=dangers,11377
those-individuals,8298
PN=sit,4490
PN=six,23695
FN=senate,2187
company-responded,22406
5-rating,22006
him-as,12398
PN=cocktails,3560
him-at,16379
this-banner,27022
europe-is,17170
of-carrying,23169
same-thing,21109
some-instinct,17195
FN=ahmad,6372
FN=people,1064
europe-in,10939
DT-RP,17387
DT-RB,2229
warned-france,6808
medicaid-.,25419
two-and,19714
PV=tire,21640
be-hunted,23812
companies-receive,545
ngc-1514,18712
trump-seemed,26063
of-refugees,16791
we-account,17938
into-sunni,24651
"deadly-,",4854
long-moratorium,3545
PV=echoing,10217
PV=sorted,15664
PN=microbes,17912
little-concerned,21469
live-television,23433
the-existing,27280
syria-is,24643
brisk-local,7482
FN=employees,9719
you-want,1855
relations-with,21832
not-survive,25825
PV=rope,17920
soccer-match,12325
FN=taxpayers,12742
FN=mission,344
was-obtained,15575
PV=discuss,12689
of-appreciation,7493
--75,9704
FN=capture,13829
your-hopes,25105
their-phones,17645
little-selective,19189
PN=hard,9579
",-republicans",25457
far-as,5280
PN=whatsapp,15746
you-put,15032
uber-nervous,15113
PN=share,6647
her-earlier,11704
FN=animals,15485
is-displayed,26811
PN=mentality,8944
s-driven,22881
lilting-musicality,6708
that-sexual,16285
you-report,12510
PN=airfare,14944
FN=food,14509
PV=escorted,18817
school-for,1117
FN=retirement,1523
by-staying,26170
in-1990,21860
middle-eastern,16399
in-1997,15
in-1999,11807
about-simpson,26360
sanctions-.,11823
"sanctions-,",8904
events-coming,24096
90-percent,9537
childbirth-to,22109
seen-here,18735
a-trauma,15826
obama-left,7027
PN=democrats,5239
FN=glove,18935
likely-looked,9433
FN=affiliates,16508
FN=grips,9396
"independents-,",25344
paris-could,1869
FN=seen,18213
another-front,7055
much-enthusiasm,20081
de-france,23725
can-watch,17785
on-going,27528
and-have,16860
that-want,4961
super-fans,21272
herself-.,3449
"1976-,",22652
just-talk,17311
big-battle,2692
5-:,26891
PN=roles,5007
the-matter,6602
5--,18137
5-.,5657
the-florist,23989
",-appearing",18314
got---,22733
the-los,22792
the-lot,4471
the-low,7997
rule-anything,22847
experience-in,635
PN=socks,27255
the-log,9477
from-now,22203
standing-up,4363
of-republicans,3041
taking-her,27614
PN=chandelier,10416
PN=change,3725
PN=standards,24865
his-deputy,10808
recently-come,7868
pandering-and,22570
PN=re,1191
michael-keaton,26838
his-health,24848
started-taking,24924
who-really,22613
mortgage-payment,7456
VBZ-WP,9589
FN=canelo,23674
the-path,18481
the-conception,11132
FN=yahoo,8549
PN=challenges,3541
PN=challenger,19124
ray-discs,24879
%-candidates,24962
carried-out,6772
FN=pantry,14551
his-designs,10697
waging-war,10831
t-go,22985
PV=according,497
a-sack,14530
PV=abused,1020
PN=possibility,600
PN=mitt,21524
tuesday-after,15630
in-burst,23197
PN=sri,17821
golden-state,22991
FN=grey,14162
fraud-started,17493
"""-star",18540
FN=scuffle,19662
looks-like,4903
FN=radar,24783
appropriate-health,24579
FN=injuries,13972
t-count,11364
but-suddenly,25090
PN=brains,15787
very-suspicious,2988
to-check,26024
brother-saturday,24599
DT-MD,5505
a-practice,22314
achievement-recognition,21868
the-flick,15013
"earlier-,",13012
FN=constitution,3354
PV=mushroomed,18640
FN=opinion,10237
end-with,9968
us-on,2178
",-pull",12555
shared-experiences,21354
of-weakness,20091
PV=capped,24098
officials-here,12820
there-is,13324
there-in,22686
your-point,12257
JJ-JJR,18107
roped-off,11445
PN=caregiving,13151
PN=symbol,3762
FN=brains,24828
he-gets,13190
PN=childbirth,22070
FN=handcuffs,8426
PN=aurora,16984
by-mom,25068
PN=centcom,10864
120-degrees,25258
FN=visa,21239
FN=offenses,8501
the-deck,8342
PN=kinect,24544
gore-talked,22827
JJR-EX,24297
that-matter,5213
PV=]”,24384
FN=soccer,22341
FN=delivery,23925
germany-’,27555
took-hostages,16042
a-reunion,6022
an-ambulance,19678
what-point,22682
have-recognized,9049
PN=fair,24144
d-and,24050
PV=presiding,13760
PV=generate,23141
the-heated,175
PN=mess,4620
bill-o,9980
PV=avoid,17867
PN=exchange,2768
and-focus,4582
FN=lotta,24969
transit-visas,13412
it-happening,9469
traveling-in,27718
a-carcass,23821
florida-and,6064
have-tumbled,25123
all-they,20590
this-almost,18903
democrats-to,12209
specially-trained,13614
things-this,6471
"it-,'""",14545
what-transpired,20742
re-just,26720
the-bacteria,14796
and-condemn,11701
she-navigates,26899
entire-book,11095
",-jon",23763
the-answer,13225
after-her,17601
CC-NN,2032
he-waded,17048
find-that,16825
PN=crackdown,23115
japan-in,12162
down-with,8555
any-stretch,22211
VBP-:,5541
PV=export,5088
an-airline,20563
PN=hearing,18102
paris-and,1758
sarah-palin,23770
FN=claims,26442
"VBP-,",2286
FN=japan,12149
himself-.,13730
"himself-,",8200
nine-organizations,13588
PV=selected,18077
gma-every,15396
PV=traveled,1576
PN=vikings,18014
place-if,13208
PN=evacuation,20542
colby-college,1737
the-fence,23891
a-map,2582
PV=witnessed,18470
they-had,16688
a-man,5876
nomination-fight,24948
FN=defense,689
who-work,16932
been-approved,17245
PN=penniless,24121
still-upset,23960
there-',13105
things-to,6052
there-.,4966
FN=manufacturing,11581
"there-,",5343
the-truth,14571
many-people,6662
PN=come,4177
FN=dramatic,27665
place-for,9153
FN=advisers,9880
south-korea,5165
a-candidate,25831
there-a,19349
"these-,",2081
these-.,15374
FN=battle,21891
voice-speaking,10323
VBZ-JJ,2177
at-eighty,9993
PN=camera,8192
PN=grabs,2424
PN=issue,3300
PN=closure,16226
PN=funny,15049
PV=drawn,18460
rope---,9624
very-comfortable,11020
PV=armed,18961
new-raids,23286
FN=playing,21422
foam-portrait,10673
work-she,6687
superhero-business,20262
5-',27553
